trip_id,stop_id,stop_sequence,arrival_time,departure_time
T300_IDA,S030,1,06:00:00,06:00:00
T300_IDA,S031,2,06:03:00,06:03:00
T300_IDA,S046,3,06:06:00,06:06:00
T300_IDA,S047,4,06:09:00,06:09:00
T300_IDA,S048,5,06:12:00,06:12:00
T300_IDA,S049,6,06:15:00,06:15:00
T300_IDA,S034,7,06:18:00,06:18:00
T300_IDA,S035,8,06:21:00,06:21:00
T300_IDA,S036,9,06:24:00,06:24:00
T300_IDA,S037,10,06:28:00,06:28:00
T300_IDA,S084,11,06:32:00,06:32:00
T300_IDA,S085,12,06:35:00,06:35:00
T300_IDA,S090,13,06:39:00,06:39:00
T300_IDA,S081,14,06:43:00,06:43:00
T300_IDA,S082,15,06:47:00,06:47:00
T300_IDA,S074,16,07:00:00,07:00:00
T300_VOLTA,S074,1,07:10:00,07:10:00
T300_VOLTA,S082,2,07:23:00,07:23:00
T300_VOLTA,S081,3,07:27:00,07:27:00
T300_VOLTA,S090,4,07:31:00,07:31:00
T300_VOLTA,S085,5,07:35:00,07:35:00
T300_VOLTA,S084,6,07:38:00,07:38:00
T300_VOLTA,S037,7,07:42:00,07:42:00
T300_VOLTA,S036,8,07:46:00,07:46:00
T300_VOLTA,S035,9,07:49:00,07:49:00
T300_VOLTA,S034,10,07:52:00,07:52:00
T300_VOLTA,S049,11,07:55:00,07:55:00
T300_VOLTA,S048,12,07:58:00,07:58:00
T300_VOLTA,S047,13,08:01:00,08:01:00
T300_VOLTA,S046,14,08:04:00,08:04:00
T300_VOLTA,S031,15,08:07:00,08:07:00
T300_VOLTA,S030,16,08:10:00,08:10:00

T301_IDA,S038,1,06:00:00,06:00:00
T301_IDA,S039,2,06:04:00,06:04:00
T301_IDA,S040,3,06:08:00,06:08:00
T301_IDA,S051,4,06:12:00,06:12:00
T301_IDA,S052,5,06:16:00,06:16:00
T301_IDA,S053,6,06:20:00,06:20:00
T301_IDA,S050,7,06:24:00,06:24:00
T301_IDA,S030,8,06:28:00,06:28:00
T301_VOLTA,S030,1,06:40:00,06:40:00
T301_VOLTA,S050,2,06:44:00,06:44:00
T301_VOLTA,S053,3,06:48:00,06:48:00
T301_VOLTA,S052,4,06:52:00,06:52:00
T301_VOLTA,S051,5,06:56:00,06:56:00
T301_VOLTA,S040,6,07:00:00,07:00:00
T301_VOLTA,S039,7,07:04:00,07:04:00
T301_VOLTA,S038,8,07:08:00,07:08:00

T302_IDA,S041,1,06:00:00,06:00:00
T302_IDA,S042,2,06:04:00,06:04:00
T302_IDA,S043,3,06:08:00,06:08:00
T302_IDA,S044,4,06:12:00,06:12:00
T302_IDA,S045,5,06:16:00,06:16:00
T302_IDA,S080,6,06:24:00,06:24:00
T302_IDA,S079,7,06:32:00,06:32:00
T302_IDA,S030,8,06:42:00,06:42:00
T302_VOLTA,S030,1,06:55:00,06:55:00
T302_VOLTA,S079,2,07:05:00,07:05:00
T302_VOLTA,S080,3,07:13:00,07:13:00
T302_VOLTA,S045,4,07:21:00,07:21:00
T302_VOLTA,S044,5,07:25:00,07:25:00
T302_VOLTA,S043,6,07:29:00,07:29:00
T302_VOLTA,S042,7,07:33:00,07:33:00
T302_VOLTA,S041,8,07:37:00,07:37:00

T303_IDA,S078,1,06:00:00,06:00:00
T303_IDA,S083,2,06:06:00,06:06:00
T303_IDA,S086,3,06:10:00,06:10:00
T303_IDA,S087,4,06:13:00,06:13:00
T303_IDA,S088,5,06:20:00,06:20:00
T303_IDA,S077,6,06:32:00,06:32:00
T303_IDA,S030,7,06:48:00,06:48:00
T303_VOLTA,S030,1,07:00:00,07:00:00
T303_VOLTA,S077,2,07:16:00,07:16:00
T303_VOLTA,S088,3,07:28:00,07:28:00
T303_VOLTA,S087,4,07:35:00,07:35:00
T303_VOLTA,S086,5,07:38:00,07:38:00
T303_VOLTA,S083,6,07:42:00,07:42:00
T303_VOLTA,S078,7,07:48:00,07:48:00

T304_IDA,S067,1,06:00:00,06:00:00
T304_IDA,S068,2,06:05:00,06:05:00
T304_IDA,S069,3,06:10:00,06:10:00
T304_IDA,S062,4,06:22:00,06:22:00
T304_VOLTA,S062,1,06:35:00,06:35:00
T304_VOLTA,S069,2,06:47:00,06:47:00
T304_VOLTA,S068,3,06:52:00,06:52:00
T304_VOLTA,S067,4,06:57:00,06:57:00

T306_IDA,S054,1,06:00:00,06:00:00
T306_IDA,S055,2,06:04:00,06:04:00
T306_IDA,S151,3,06:08:00,06:08:00
T306_IDA,S152,4,06:12:00,06:12:00
T306_IDA,S153,5,06:16:00,06:16:00
T306_IDA,S154,6,06:20:00,06:20:00
T306_IDA,S155,7,06:24:00,06:24:00
T306_IDA,S156,8,06:28:00,06:28:00
T306_IDA,S157,9,06:32:00,06:32:00
T306_IDA,S158,10,06:36:00,06:36:00
T306_IDA,S159,11,06:40:00,06:40:00
T306_IDA,S160,12,06:44:00,06:44:00
T306_IDA,S074,13,06:58:00,06:58:00
T306_VOLTA,S074,1,07:10:00,07:10:00
T306_VOLTA,S160,2,07:24:00,07:24:00
T306_VOLTA,S159,3,07:28:00,07:28:00
T306_VOLTA,S158,4,07:32:00,07:32:00
T306_VOLTA,S157,5,07:36:00,07:36:00
T306_VOLTA,S156,6,07:40:00,07:40:00
T306_VOLTA,S155,7,07:44:00,07:44:00
T306_VOLTA,S154,8,07:48:00,07:48:00
T306_VOLTA,S153,9,07:52:00,07:52:00
T306_VOLTA,S152,10,07:56:00,07:56:00
T306_VOLTA,S151,11,08:00:00,08:00:00
T306_VOLTA,S055,12,08:04:00,08:04:00
T306_VOLTA,S054,13,08:08:00,08:08:00

T307_IDA,S091,1,06:00:00,06:00:00
T307_IDA,S092,2,06:03:00,06:03:00
T307_IDA,S093,3,06:06:00,06:06:00
T307_IDA,S094,4,06:09:00,06:09:00
T307_IDA,S095,5,06:12:00,06:12:00
T307_IDA,S096,6,06:15:00,06:15:00
T307_IDA,S097,7,06:18:00,06:18:00
T307_IDA,S098,8,06:21:00,06:21:00
T307_IDA,S099,9,06:24:00,06:24:00
T307_IDA,S100,10,06:28:00,06:28:00
T307_IDA,S105,11,06:40:00,06:40:00
T307_VOLTA,S105,1,06:55:00,06:55:00
T307_VOLTA,S100,2,07:07:00,07:07:00
T307_VOLTA,S099,3,07:11:00,07:11:00
T307_VOLTA,S098,4,07:14:00,07:14:00
T307_VOLTA,S097,5,07:17:00,07:17:00
T307_VOLTA,S096,6,07:20:00,07:20:00
T307_VOLTA,S095,7,07:23:00,07:23:00
T307_VOLTA,S094,8,07:26:00,07:26:00
T307_VOLTA,S093,9,07:29:00,07:29:00
T307_VOLTA,S092,10,07:32:00,07:32:00
T307_VOLTA,S091,11,07:35:00,07:35:00

T308_IDA,S056,1,06:00:00,06:00:00
T308_IDA,S057,2,06:04:00,06:04:00
T308_IDA,S101,3,06:08:00,06:08:00
T308_IDA,S102,4,06:12:00,06:12:00
T308_IDA,S103,5,06:16:00,06:16:00
T308_IDA,S104,6,06:20:00,06:20:00
T308_IDA,S105,7,06:24:00,06:24:00
T308_IDA,S106,8,06:28:00,06:28:00
T308_IDA,S107,9,06:32:00,06:32:00
