route_id,trip_id,direction_id
R300,T300_IDA,0
R300,T300_VOLTA,1
R301,T301_IDA,0
R301,T301_VOLTA,1
R302,T302_IDA,0
R302,T302_VOLTA,1
R303,T303_IDA,0
R303,T303_VOLTA,1
R304,T304_IDA,0
R304,T304_VOLTA,1
R306,T306_IDA,0
R306,T306_VOLTA,1
R307,T307_IDA,0
R307,T307_VOLTA,1
R308,T308_IDA,0
R308,T308_VOLTA,1
R309,T309_IDA,0
R309,T309_VOLTA,1
R310,T310_IDA,0
R310,T310_VOLTA,1
R311,T311_IDA,0
R311,T311_VOLTA,1
R312,T312_IDA,0
R312,T312_VOLTA,1
R313,T313_IDA,0
R313,T313_VOLTA,1
R314,T314_IDA,0
R314,T314_VOLTA,1
